scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,75,0.7315493448263218,0.11068180833216722,0.0650222300164597,0,0.1,1,0.574564641266374,-0.038235151224345544,0.058211912686166045,0,0.0,1,0.9374900630864564,0.07953326118069723,0.06267193316818154,0,0.0,1,alpha_pos,1.0
alpha_pos,76,0.7759664556149702,0.12784692558631727,0.05710448859105386,1,0.1,1,0.7789633895905907,-0.014938147208868978,0.06173548411950763,0,0.0,1,0.9651365618985882,-0.014291052167395167,0.058714913432440397,0,0.0,1,alpha_pos,1.0
alpha_pos,77,0.8251615911347487,0.010110948875110394,0.0625753984127562,0,0.1,1,0.7511026478334177,-0.04765461586514372,0.06151120136184607,0,0.0,1,0.9539323726739595,0.08794116205615579,0.05447987374377314,0,0.0,1,beta,0.0
alpha_pos,78,0.7880690915990443,0.10932290904145603,0.06308979646110778,0,0.1,1,0.8511535615763764,0.11425695633064238,0.061128507236523716,0,0.0,1,0.928968134012074,-0.06523886778644637,0.048721770861603474,0,0.0,1,alpha_neg,0.0
alpha_pos,79,0.7735616204455315,0.1015336569135261,0.06944039836628112,0,0.1,1,0.8266668445830226,0.06887484548970686,0.060403873950342885,0,0.0,1,0.9291489066767135,-0.05362342801509495,0.051410554320484206,0,0.0,1,alpha_pos,1.0
alpha_pos,80,0.7700329904932844,0.07381686836076995,0.062108325541441634,0,0.1,1,0.7233591983197389,0.17390803207402508,0.05403442286184653,1,0.0,0,0.9670623404104306,-0.02182370086546641,0.05527652272612392,0,0.0,1,alpha_neg,0.0
alpha_pos,81,0.8295282220043353,0.007078370900261286,0.07311040106129804,0,0.1,1,0.8071904266013603,0.08388294154759453,0.06148403294700635,0,0.0,1,0.9238446072310273,-0.011681767991958405,0.04940737763335415,0,0.0,1,alpha_neg,0.0
alpha_pos,82,0.7450520379616935,0.16253863110110542,0.062070732020943965,1,0.1,1,0.7754598273650737,-0.06007626503049307,0.05562539191493248,0,0.0,1,0.9390342831885597,0.03771192907354174,0.05268485582930474,0,0.0,1,alpha_pos,1.0
alpha_pos,83,0.7125742701317679,-0.1025605937392717,0.07944858157823298,0,0.1,0,0.6852339143287853,-0.09105638090375388,0.05314937752312928,0,0.0,1,0.9360415922089667,-0.02242528468909282,0.0508029005552122,0,0.0,1,alpha_pos,1.0
alpha_pos,84,0.7813376653790003,0.14913056571510366,0.06313190525644354,1,0.1,1,0.8521647697187736,-0.014278630554506665,0.0568514894890719,0,0.0,1,0.9182386500439083,-0.00927777223911219,0.05210281250020894,0,0.0,1,alpha_pos,1.0
alpha_pos,85,0.783961537298432,-0.07558021133811774,0.06266515242608095,0,0.1,0,0.8455959702571175,-0.03569603256603527,0.06357290965893539,0,0.0,1,0.856164445156048,-0.06891518325117739,0.06006243353459205,0,0.0,1,alpha_pos,1.0
alpha_pos,86,0.6984127057627508,0.04603964952648742,0.06973606516911965,0,0.1,1,0.7779026085737819,-0.017791877393239803,0.04428132802234402,0,0.0,1,0.9468403684744101,0.027434530856304616,0.06558773277970573,0,0.0,1,alpha_pos,1.0
alpha_pos,87,0.8327112055700672,0.23901328328602262,0.06442508465858729,1,0.1,0,0.7838729653187416,-0.019026258082347806,0.06340192755667824,0,0.0,1,0.9417741491348641,-0.07804903143398413,0.04913407715635756,0,0.0,1,alpha_pos,1.0
alpha_pos,88,0.8070909320951108,0.051865848924174465,0.060087031772467804,0,0.1,1,0.8703991007684517,0.07189794189498991,0.06644688109897012,0,0.0,1,0.9427660448658051,0.00016676344490007807,0.05037702592222576,0,0.0,1,alpha_neg,0.0
alpha_pos,89,0.7545141637506797,0.08337905297562613,0.0619246037293983,0,0.1,1,0.8243268483201783,0.10115771147395702,0.07600755258956225,0,0.0,1,0.9441619874438453,-0.027628205040770338,0.05905810519829734,0,0.0,1,alpha_neg,0.0
alpha_pos,90,0.7868634570479277,-0.016708959317040382,0.06967129016968925,0,0.1,1,0.7785949020307241,-0.045329995916233476,0.0679825148862979,0,0.0,1,0.869731493341426,0.027493391875593624,0.050923020896587845,0,0.0,1,alpha_neg,0.0
alpha_pos,91,0.6907706091448423,0.05034240705294486,0.06205656121850878,0,0.1,1,0.7738167617867243,0.03483772932022222,0.048813229547155466,0,0.0,1,0.9275369797126127,0.09352995222435156,0.04887275363479761,0,0.0,1,beta,0.0
alpha_pos,92,0.782705731954645,0.06496673743249719,0.07042344815335554,0,0.1,1,0.8942792590145369,0.007372480524111741,0.06060791654419502,0,0.0,1,0.9208710574205957,-0.038563428238803606,0.04928710454691199,0,0.0,1,alpha_pos,1.0
