source_file,output_index,output_file,original_width_px,original_height_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,output_width_px,output_height_px,dpi,output_format,pre_match_mean_luminance_0_255,pre_match_median_luminance_0_255,matching_metric_used,pre_match_luminance_used_for_matching_0_255,target_luminance_0_255,full_brightness_multiplier_not_used,unclamped_partial_multiplier,brightness_multiplier_applied,brightness_multiplier_was_clamped,correction_strength,min_brightness_multiplier,max_brightness_multiplier,contrast_multiplier,post_match_mean_luminance_0_255,post_match_median_luminance_0_255,target_Lstar_approx
AdobeStock_190679947.jpeg,39,bandit_039.jpg,8688,5792,0,0,8688,5792,3000,2000,300,JPEG,74.532,51.728,median,51.728,97.132,1.87773,1.526638,1.2,True,0.6,0.85,1.2,1.0,88.283,61.588,68.088
AdobeStock_190817824.jpeg,40,bandit_040.jpg,8688,5792,0,0,8688,5792,3000,2000,300,JPEG,91.188,85.381,median,85.381,97.132,1.137635,1.082581,1.082581,False,0.6,0.85,1.2,1.0,98.078,92.1,68.088
AdobeStock_194434516.jpeg,41,bandit_041.jpg,4467,2978,0,0,4467,2978,3000,2000,300,JPEG,127.6,132.473,median,132.473,97.132,0.73322,0.839932,0.85,True,0.6,0.85,1.2,1.0,107.984,112.198,68.088
AdobeStock_196140867.jpeg,42,bandit_042.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,115.642,119.194,median,119.194,97.132,0.814905,0.888943,0.888943,False,0.6,0.85,1.2,1.0,102.347,105.556,68.088
AdobeStock_196386638.jpeg,43,bandit_043.jpg,7060,4712,0,2,7060,4709,3000,2000,300,JPEG,135.452,141.793,median,141.793,97.132,0.685026,0.811015,0.85,True,0.6,0.85,1.2,1.0,114.66,120.059,68.088
AdobeStock_2030005897.jpeg,44,bandit_044.jpg,5504,3072,448,0,5056,3072,3000,2000,300,JPEG,94.883,78.049,median,78.049,97.132,1.244497,1.146698,1.146698,False,0.6,0.85,1.2,1.0,106.822,89.145,68.088
AdobeStock_205220760.jpeg,45,bandit_045.jpg,5616,3744,0,0,5616,3744,3000,2000,300,JPEG,93.114,76.331,median,76.331,97.132,1.272517,1.16351,1.16351,False,0.6,0.85,1.2,1.0,106.682,88.471,68.088
AdobeStock_209775206.jpeg,46,bandit_046.jpg,5254,3060,332,0,4922,3060,3000,2000,300,JPEG,90.641,66.735,median,66.735,97.132,1.455484,1.27329,1.2,True,0.6,0.85,1.2,1.0,107.295,79.739,68.088
AdobeStock_210074092.jpeg,47,bandit_047.jpg,4966,3392,0,40,4966,3351,3000,2000,300,JPEG,40.55,21.776,median,21.776,97.132,4.460548,3.076329,1.2,True,0.6,0.85,1.2,1.0,47.653,25.643,68.088
AdobeStock_221637555.jpeg,48,bandit_048.jpg,5547,3698,0,0,5547,3698,3000,2000,300,JPEG,151.239,156.407,median,156.407,97.132,0.621022,0.772613,0.85,True,0.6,0.85,1.2,1.0,128.076,132.366,68.088
AdobeStock_222166807.jpeg,49,bandit_049.jpg,4531,3102,0,40,4531,3061,3000,2000,300,JPEG,79.599,55.684,median,55.684,97.132,1.744355,1.446613,1.2,True,0.6,0.85,1.2,1.0,94.41,66.39,68.088
AdobeStock_225554667.jpeg,50,bandit_050.jpg,6000,4000,0,0,6000,4000,3000,2000,300,JPEG,85.962,66.551,median,66.551,97.132,1.459512,1.275707,1.2,True,0.6,0.85,1.2,1.0,101.137,79.437,68.088
AdobeStock_230034057.jpeg,51,bandit_051.jpg,4977,3318,0,0,4977,3318,3000,2000,300,JPEG,28.809,3.642,median,3.642,97.132,26.671426,16.402855,1.2,True,0.6,0.85,1.2,1.0,33.661,3.927,68.088
AdobeStock_234200318.jpeg,52,bandit_052.jpg,8500,4160,1130,0,7370,4160,3000,2000,300,JPEG,60.471,45.231,median,45.231,97.132,2.147465,1.688479,1.2,True,0.6,0.85,1.2,1.0,71.847,53.874,68.088
AdobeStock_239687801.jpeg,53,bandit_053.jpg,5616,3744,0,0,5616,3744,3000,2000,300,JPEG,145.983,159.184,median,159.184,97.132,0.610185,0.766111,0.85,True,0.6,0.85,1.2,1.0,123.609,134.846,68.088
AdobeStock_242117284.jpeg,54,bandit_054.jpg,5300,3533,0,0,5300,3533,3000,2000,300,JPEG,99.143,80.828,median,80.828,97.132,1.201718,1.121031,1.121031,False,0.6,0.85,1.2,1.0,109.435,90.122,68.088
AdobeStock_245456223.jpeg,55,bandit_055.jpg,6720,4480,0,0,6720,4480,3000,2000,300,JPEG,51.539,33.538,median,33.538,97.132,2.896178,2.137707,1.2,True,0.6,0.85,1.2,1.0,61.334,39.849,68.088
AdobeStock_246185746.jpeg,56,bandit_056.jpg,5472,3648,0,0,5472,3648,3000,2000,300,JPEG,52.831,23.856,median,23.856,97.132,4.071664,2.842999,1.2,True,0.6,0.85,1.2,1.0,62.803,27.992,68.088
AdobeStock_246186039.jpeg,57,bandit_057.jpg,5472,3648,0,0,5472,3648,3000,2000,300,JPEG,68.746,46.203,median,46.203,97.132,2.102297,1.661378,1.2,True,0.6,0.85,1.2,1.0,82.02,54.944,68.088
AdobeStock_251991045.jpeg,58,bandit_058.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,73.257,59.183,median,59.183,97.132,1.64122,1.384732,1.2,True,0.6,0.85,1.2,1.0,85.809,70.822,68.088
AdobeStock_268554419.jpeg,59,bandit_059.jpg,4834,3626,0,201,4834,3424,3000,2000,300,JPEG,52.174,19.648,median,19.648,97.132,4.943557,3.366134,1.2,True,0.6,0.85,1.2,1.0,61.369,23.363,68.088
